STATE,FDID,INC_DATE,INC_NO,DEVI_CONT,DEVI_IGNIT,DEVI_FUEL
AK,13000,9302010,1189,,,
AK,13000,10022010,1199,15,UU,14
AK,17100,3292010,1,NN,20,NN
AK,21100,1202010,1,,,
AK,21100,2242010,18,,,
AK,21100,8042010,40,,,
AK,22218,6112010,1,NN,20,NN
AK,22218,6112010,2,NN,20,NN
AK,22218,6112010,3,NN,20,NN
AK,22218,6242010,4,NN,20,NN
AK,23100,1012010,29,,,
AK,23100,1012010,34,,,
AK,23100,1012010,73,,,
AK,23100,1012010,91,,,
AK,23100,1032010,228,,,
AK,23100,1032010,257,,,
AK,23100,1042010,330,,,
AK,23100,1042010,360,,,
AK,23100,1062010,542,,,
AK,23100,1082010,660,,,
AK,23100,1092010,777,,,
AK,23100,1102010,864,,,
AK,23100,1102010,866,,,
AK,23100,1102010,918,,,
AK,23100,1122010,1112,,,
AK,23100,1132010,1140,,,
AK,23100,1132010,1191,,,
AK,23100,1142010,1227,,,
AK,23100,1142010,1243,,,
AK,23100,1142010,1261,,,
AK,23100,1162010,1403,,,
AK,23100,1192010,1672,,,
AK,23100,1202010,1723,,,
AK,23100,1202010,1779,,,
AK,23100,1202010,1791,,,
AK,23100,1212010,1840,,,
AK,23100,1212010,1888,,,
AK,23100,1232010,1997,,,
AK,23100,1232010,2027,,,
AK,23100,1262010,2258,,,
AK,23100,1272010,2366,,,
AK,23100,1282010,2485,,,
AK,23100,1302010,2648,,,
AK,23100,1312010,2747,,,
AK,23100,1312010,2755,,,
AK,23100,1312010,2775,,,
AK,23100,2012010,2808,,,
AK,23100,2022010,2861,,,
AK,23100,2022010,2885,,,
AK,23100,2022010,2895,,,
AK,23100,2022010,2948,,,
AK,23100,2042010,3056,,,
AK,23100,2062010,3273,,,
AK,23100,2062010,3282,,,
AK,23100,2072010,3375,,,
AK,23100,2072010,3415,,,
AK,23100,2072010,3442,,,
AK,23100,2082010,3475,,,
AK,23100,2082010,3538,,,
AK,23100,2102010,3680,,,
AK,23100,2102010,3703,,,
AK,23100,2102010,3720,,,
AK,23100,2102010,3741,,,
AK,23100,2122010,3966,,,
AK,23100,2152010,4181,,,
AK,23100,2152010,4188,,,
AK,23100,2192010,4508,,,
AK,23100,2202010,4609,,,
AK,23100,2202010,4669,,,
AK,23100,2212010,4721,,,
AK,23100,2222010,4803,,,
AK,23100,2232010,4881,,,
AK,23100,2272010,5323,,,
AK,23100,2282010,5342,,UU,11
AK,23100,2282010,5417,,,
AK,23100,3022010,5548,,,
AK,23100,3022010,5619,,,
AK,23100,3032010,5658,,,
AK,23100,3042010,5716,,,
AK,23100,3042010,5771,,,
AK,23100,3042010,5784,,,
AK,23100,3052010,5852,,,
AK,23100,3052010,5855,,,
AK,23100,3072010,6017,,,
AK,23100,3082010,6112,,,
AK,23100,3082010,6131,,,
AK,23100,3082010,6151,,,
AK,23100,3082010,6191,,,
AK,23100,3082010,6198,,,
AK,23100,3092010,6243,,,
AK,23100,3092010,6291,,,
AK,23100,3112010,6444,,,
AK,23100,3122010,6511,,,
AK,23100,3132010,6636,,,
AK,23100,3142010,6715,,,
AK,23100,3152010,6756,,,
AK,23100,3172010,7030,,,
AK,23100,3192010,7212,,,
AK,23100,3212010,7368,0,,15
AK,23100,3222010,7444,,,
AK,23100,3222010,7467,0,20,11
AK,23100,3222010,7478,,,
AK,23100,3222010,7512,,,
AK,23100,3232010,7556,,,
AK,23100,3262010,7799,,,
AK,23100,3272010,7889,,,
AK,23100,3272010,7953,,,
AK,23100,3282010,8014,,,
AK,23100,3302010,8158,,,
AK,23100,3312010,8282,,,
AK,23100,4032010,8637,,,
AK,23100,4032010,8656,,,
AK,23100,4042010,8706,,,
AK,23100,4042010,8719,,,
AK,23100,4052010,8818,,,
AK,23100,4062010,8897,,,
AK,23100,4062010,8969,,,
AK,23100,4072010,9069,,,
AK,23100,4102010,9358,,,
AK,23100,4112010,9450,,,
AK,23100,4112010,9460,,,
AK,23100,4122010,9553,,,
AK,23100,4152010,9812,,,
AK,23100,4152010,9849,,,
AK,23100,4172010,9969,,,
AK,23100,4192010,10155,,,
AK,23100,4202010,10234,16,UU,12
AK,23100,4202010,10281,,,
AK,23100,4202010,10290,,,
AK,23100,4202010,10307,,,
AK,23100,4222010,10421,,,
AK,23100,4232010,10528,,,
AK,23100,4252010,10763,,,
AK,23100,4252010,10803,,,
AK,23100,4252010,10809,,,
AK,23100,4262010,10912,,,
AK,23100,4262010,10923,,,
AK,23100,4262010,10925,,,
AK,23100,4282010,11060,,,
AK,23100,4282010,11118,,,
AK,23100,4292010,11149,,,
AK,23100,4292010,11172,,,
AK,23100,4292010,11200,,,
AK,23100,4302010,11271,,,
AK,23100,4302010,11275,,,
AK,23100,4302010,11289,,,
AK,23100,5012010,11404,,,
AK,23100,5012010,11455,,,
AK,23100,5022010,11474,,,
AK,23100,5022010,11485,,,
AK,23100,5032010,11552,,,
AK,23100,5032010,11565,,,
AK,23100,5032010,11632,,,
AK,23100,5042010,11770,,,
AK,23100,5042010,11792,,,
AK,23100,5052010,11842,,,
AK,23100,5062010,11993,,,
AK,23100,5082010,12209,,,
AK,23100,5092010,12237,,,
AK,23100,5102010,12322,,,
AK,23100,5102010,12332,,,
AK,23100,5112010,12468,,,
AK,23100,5112010,12500,,,
AK,23100,5122010,12561,,,
AK,23100,5122010,12568,,,
AK,23100,5122010,12602,,,
AK,23100,5132010,12641,,,
AK,23100,5132010,12662,,,
AK,23100,5142010,12729,,,
AK,23100,5142010,12740,,,
AK,23100,5142010,12751,,,
AK,23100,5162010,12979,,,
AK,23100,5162010,13015,,,
AK,23100,5172010,13043,,,
AK,23100,5182010,13132,,,
AK,23100,5182010,13139,,,
AK,23100,5192010,13255,,,
AK,23100,5202010,13334,16,20,14
AK,23100,5212010,13446,,,
AK,23100,5212010,13515,,,
AK,23100,5212010,13525,,,
AK,23100,5222010,13597,,,
AK,23100,5232010,13684,,,
AK,23100,5232010,13718,,,
AK,23100,5272010,14108,,,
AK,23100,5292010,14266,,,
AK,23100,5292010,14345,,,
AK,23100,5302010,14398,,,
AK,23100,6012010,14611,,,
AK,23100,6012010,14637,,,
AK,23100,6022010,14692,,,
AK,23100,6022010,14798,,,
AK,23100,6032010,14923,,,
AK,23100,6042010,14939,,,
AK,23100,6052010,15068,,,
AK,23100,6052010,15069,,,
AK,23100,6062010,15154,,,
AK,23100,6062010,15201,,,
AK,23100,6072010,15288,,,
AK,23100,6082010,15397,,,
AK,23100,6092010,15472,,,
AK,23100,6122010,15761,,,
AK,23100,6122010,15780,,,
AK,23100,6122010,15794,,,
AK,23100,6132010,15869,,,
AK,23100,6142010,15964,,,
AK,23100,6142010,15979,,,
AK,23100,6142010,15980,,,
AK,23100,6152010,16025,,,
AK,23100,6162010,16123,,,
AK,23100,6182010,16282,,,
AK,23100,6192010,16398,,,
AK,23100,6192010,16434,,,
AK,23100,6202010,16468,,,
AK,23100,6202010,16476,,,
AK,23100,6212010,16628,,,
AK,23100,6222010,16692,,,
AK,23100,6222010,16699,,,
AK,23100,6222010,16757,,,
AK,23100,6222010,16768,,,
AK,23100,6242010,16938,,,
AK,23100,6242010,16946,,,
AK,23100,6242010,16953,,,
AK,23100,6242010,16957,,,
AK,23100,6242010,16979,,,
AK,23100,6252010,17030,,,
AK,23100,6262010,17152,,,
AK,23100,6302010,17671,,,
AK,23100,7012010,17694,,,
AK,23100,7022010,17823,,,
AK,23100,7022010,17831,,,
AK,23100,7032010,17976,,,
AK,23100,7032010,18023,,,
AK,23100,7042010,18092,,,
AK,23100,7052010,18209,,,
AK,23100,7062010,18292,,,
AK,23100,7072010,18413,,,
AK,23100,7082010,18513,,,
AK,23100,7102010,18741,,,
AK,23100,7112010,18800,,,
AK,23100,7112010,18874,,,
AK,23100,7132010,19015,,,
AK,23100,7152010,19229,,,
AK,23100,7162010,19318,,,
AK,23100,7162010,19401,,,
AK,23100,7162010,19408,,,
AK,23100,7172010,19485,,,
AK,23100,7192010,19641,,,
AK,23100,7192010,19646,,,
AK,23100,7192010,19677,,,
AK,23100,7212010,19774,,,
AK,23100,7212010,19837,,,
AK,23100,7222010,19896,,,
AK,23100,7232010,20072,,,
AK,23100,7242010,20110,,,
AK,23100,7242010,20125,,,
AK,23100,7242010,20153,,,
AK,23100,7252010,20207,,,
AK,23100,7262010,20285,,,
AK,23100,7262010,20301,,,
AK,23100,7262010,20361,,,
AK,23100,7282010,20531,,,
AK,23100,7292010,20621,,,
AK,23100,7302010,20737,,,
AK,23100,7302010,20793,,,
AK,23100,8012010,20923,,,
AK,23100,8022010,21020,,,
AK,23100,8022010,21110,,,
AK,23100,8032010,21123,,,
AK,23100,8032010,21146,,,
AK,23100,8032010,21198,,,
AK,23100,8062010,21423,,,
AK,23100,8092010,21839,,,
AK,23100,8102010,21920,,,
AK,23100,8112010,21988,,,
AK,23100,8142010,22318,,,
AK,23100,8142010,22376,,,
AK,23100,8152010,22424,,,
AK,23100,8152010,22430,,,
AK,23100,8162010,22504,,,
AK,23100,8162010,22548,,,
AK,23100,8172010,22600,,,
AK,23100,8172010,22656,,,
AK,23100,8192010,22797,,,
AK,23100,8192010,22876,,,
AK,23100,8202010,22952,,,
AK,23100,8202010,22991,,,
AK,23100,8212010,23058,,,
AK,23100,8272010,23656,,,
AK,23100,8282010,23784,,,
AK,23100,8302010,23983,,,
AK,23100,9022010,24255,,,
AK,23100,9022010,24257,,,
AK,23100,9022010,24303,,,
AK,23100,9032010,24438,,,
AK,23100,9032010,24446,,,
AK,23100,9042010,24489,,,
AK,23100,9072010,24865,,,
AK,23100,9082010,24866,,,
AK,23100,9092010,25021,,,
AK,23100,9092010,25042,,,
AK,23100,9132010,25418,,,
AK,23100,9132010,25426,,,
AK,23100,9142010,25593,,,
AK,23100,9142010,25598,,,
AK,23100,9152010,25686,,,
AK,23100,9162010,25725,,,
AK,23100,9162010,25726,,,
AK,23100,9182010,25915,,,
AK,23100,9212010,26239,,,
AK,23100,9232010,26403,,,
AK,23100,9242010,26560,,,
AK,23100,9262010,26804,,,
AK,23100,9272010,26866,,,
AK,23100,9272010,26875,,,
AK,23100,9282010,26913,,,
AK,23100,9282010,26928,,,
AK,23100,9282010,26954,,,
AK,23100,9282010,26969,,,
AK,23100,9292010,27088,,,
AK,23100,9302010,27156,,,
AK,23100,10022010,27308,,,
AK,23100,10022010,27393,,,
AK,23100,10032010,27442,,,
